"IndicatorName","MeasureType","GeoType","GeoEntity","TimePeriod","DataValue","UnreliabilityFlag"
"Children Under 5 in Poverty","Number","Citywide","1","2009-13 ACS","151635","0"
"Children Under 5 in Poverty","Percent","Citywide","1","2009-13 ACS","28.8","0"
"Children Under 5 in Poverty","Number","Borough","1","2009-13 ACS","43188","0"
"Children Under 5 in Poverty","Percent","Borough","1","2009-13 ACS","42.12","0"
"Children Under 5 in Poverty","Number","Borough","2","2009-13 ACS","61920","0"
"Children Under 5 in Poverty","Percent","Borough","2","2009-13 ACS","33.98","0"
"Children Under 5 in Poverty","Number","Borough","3","2009-13 ACS","15624","0"
"Children Under 5 in Poverty","Percent","Borough","3","2009-13 ACS","19.69","0"
"Children Under 5 in Poverty","Number","Borough","4","2009-13 ACS","25500","0"
"Children Under 5 in Poverty","Percent","Borough","4","2009-13 ACS","18.97","0"
"Children Under 5 in Poverty","Number","Borough","5","2009-13 ACS","5403","0"
"Children Under 5 in Poverty","Percent","Borough","5","2009-13 ACS","19.28","0"
"Children Under 5 in Poverty","Number","Subboro","1","2009-13 ACS","6889","0"
"Children Under 5 in Poverty","Percent","Subboro","1","2009-13 ACS","55.54","0"
"Children Under 5 in Poverty","Rank","Subboro","1","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","2","2009-13 ACS","7569","0"
"Children Under 5 in Poverty","Percent","Subboro","2","2009-13 ACS","54.96","0"
"Children Under 5 in Poverty","Rank","Subboro","2","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","3","2009-13 ACS","5231","0"
"Children Under 5 in Poverty","Percent","Subboro","3","2009-13 ACS","48.11","0"
"Children Under 5 in Poverty","Rank","Subboro","3","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","4","2009-13 ACS","5740","0"
"Children Under 5 in Poverty","Percent","Subboro","4","2009-13 ACS","55.58","0"
"Children Under 5 in Poverty","Rank","Subboro","4","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","5","2009-13 ACS","3964","0"
"Children Under 5 in Poverty","Percent","Subboro","5","2009-13 ACS","38.36","0"
"Children Under 5 in Poverty","Rank","Subboro","5","2009-13 ACS","3","0"
"Children Under 5 in Poverty","Number","Subboro","6","2009-13 ACS","1643","0"
"Children Under 5 in Poverty","Percent","Subboro","6","2009-13 ACS","23.26","0"
"Children Under 5 in Poverty","Rank","Subboro","6","2009-13 ACS","2","0"
